Qmun,Qnome_unidade,Qcount_criancas_num,ID_Pergunta,Resposta,Texto_Pergunta,Bloco_ID,Bloco_Nome,Resposta_Valida
Barra do Bugres,Centro Educacional de Educação Infantil Governador José Garcia Neto,114,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Barra do Bugres,Creche Municipal Nossa Senhora Aparecida,154,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Barra do Garças,CMEI Dona Delice Farias dos Santos,22,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Barra do Garças,CMEI Imaculada Conceição,128,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Barra do Garças,CMEI Prof. Carmina Santis Bosaipo,62,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Barra do Garças,CMEI Prof. Izaurina Abreu Luz,92,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Barra do Garças,CMEI Prof. Joselma Ignez S. Schimmer,103,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Barra do Garças,CMEI Professora Maurenice Santos Cordeiro,115,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Barra do Garças,Dom Geraldo Fernandes,104,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Barra do Garças,Padre Daniel Badiali,35,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Cáceres,CMEI Brígida da Silva Aguiar,60,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Cáceres,Escola Municipal Buscando o Saber,63,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Cáceres,Escola Municipal de Educação Infantil Léa Maria Lara Silva,103,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Cáceres,Escola Municipal de Educação Infantil Madre Maria Estevão,242,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Cáceres,Escola Municipal de Ensino Infantil Província de Arezzo,75,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Cáceres,Escola Municipal Irene Coelho Cruz,197,B01,Não,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Campinápolis,UNIDADE MUNICIPAL DE EDUCAÇÃO INFANTIL MARIA DE MORAES LIMA,222,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Campinápolis,UNIDADE MUNICIPAL DE EDUCAÇÃO INFANTIL OSCAR LUIZ DA SILVA OSCARINO,208,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Campo Novo dos Parecis,EMEI Armando Jacinto Brolio,482,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Campo Novo dos Parecis,EMEI Reino Encantado,405,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Campo Verde,CENTRO EDUCACIONAL AMERECILDA CONCEICAO FERNANDES REZENDE,250,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Campo Verde,Centro Educacional Bem-Me-Quer,308,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Campo Verde,Creche Francisco Tirado Aragão Filho,540,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Campo Verde,CRECHE JOHANNES BERTHOLD HENNING (Padre Joao),337,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Campo Verde,Creche Municipal Cora Coralina,184,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Comodoro,Creche Cantinho Feliz,206,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Confresa,CMEI ANGELINA FERNANDES DA FONSECA,390,B01,Não,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Confresa,CMEI SARAH JENYFFER BARBOSA DE FREITAS,99,B01,Não,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Confresa,CRECHE MUNICIPAL PROFESSORA LUCINARA APARECIDA LIMA E SILVA,195,B01,Não,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Cuiabá,CEEI PORTAL DA FÉ,119,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
Cuiabá,CEIC  JOSEFA CATARINA DE ALMEIDA,119,B01,Sim,Existe lista formal de espera organizada e acessível?,B,B – Gestão da Demanda e Fila de Espera,True
